year,cash_from_operating_activity,cash_from_investing_activity,cash_from_financing_activity,net_cash_flow,symbol
Mar 2016,"3,722","-2,300","-1,475",-53,HEROMOTOCO
Mar 2017,"4,007","-1,972","-2,036",-1,HEROMOTOCO
Mar 2018,"4,017","-1,858","-2,102",57,HEROMOTOCO
Mar 2019,"1,032","1,298","-2,252",78,HEROMOTOCO
Mar 2020,"5,518","-2,819","-2,602",97,HEROMOTOCO
Mar 2021,"4,110","-2,289","-1,852",-31,HEROMOTOCO
Mar 2022,"2,104",-222,"-1,975",-94,HEROMOTOCO
Mar 2011,"6,226","-7,050",825,2,HINDALCO
Mar 2012,"7,547","-13,220","6,237",564,HINDALCO
Mar 2013,"2,977","-13,801","10,278",-545,HINDALCO
Mar 2014,"7,956","-8,095","1,493","1,353",HINDALCO
Mar 2015,"7,143","-3,873","-2,437",833,HINDALCO
Mar 2016,"11,688","-3,220","-8,862",-394,HINDALCO
Mar 2017,"12,687","-2,876","-5,552","4,259",HINDALCO
Mar 2018,"10,898","5,333","-16,412",-181,HINDALCO
Mar 2019,"11,977","-5,456","-5,466","1,055",HINDALCO
Mar 2020,"12,745","-7,227","6,656","12,174",HINDALCO
Mar 2021,"17,232","-25,280","-4,882","-12,930",HINDALCO
Mar 2022,"16,838","-6,773","-6,765","3,300",HINDALCO
Mar 2011,"1,924",-327,"-2,283",-687,HINDUNILVR
Mar 2012,"2,932",-514,"-1,726",692,HINDUNILVR
Mar 2013,"3,605",63,"-4,147",-480,HINDUNILVR
Mar 2014,"3,818",-475,"-2,960",383,HINDUNILVR
Mar 2015,"3,292",138,"-3,462",-33,HINDUNILVR
Mar 2016,"4,171",-282,"-3,864",25,HINDUNILVR
Mar 2017,"5,185","-1,173","-4,214",-202,HINDUNILVR
Mar 2018,"6,059","-1,063","-4,975",21,HINDUNILVR
Mar 2019,"5,800",-438,"-5,390",-28,HINDUNILVR
Mar 2020,"7,623","1,791","-6,819","2,595",HINDUNILVR
Mar 2021,"9,163","-1,228","-9,309","-1,374",HINDUNILVR
Mar 2022,"9,048","-1,728","-8,015",-695,HINDUNILVR
Mar 2011,"-11,402","-7,857","19,801",542,HDFC
Mar 2012,"-17,534","-6,275","23,194",-615,HDFC
Mar 2013,"-11,969","-10,212","23,174",992,HDFC
Mar 2014,"-10,735","-12,983","25,719","2,000",HDFC
Mar 2015,"-9,118","-18,552","24,820","-2,850",HDFC
Mar 2016,"-19,710","-9,309","29,111",92,HDFC
Mar 2017,"-14,173","-27,236","43,127","1,718",HDFC
Mar 2018,"-57,928","-7,954","63,344","-2,538",HDFC
Mar 2019,"-44,301","-10,316","54,986",369,HDFC
Mar 2020,"-26,801","-9,874","38,690","2,015",HDFC
Mar 2021,"-27,276","-6,958","31,665","-2,570",HDFC
Mar 2022,"-44,028","-19,887","63,541",-374,HDFC
Mar 2011,"-3,638","-4,778",657,"-7,759",ICICIBANK
Mar 2012,"-6,405","-21,263","29,439","1,771",ICICIBANK
Mar 2013,"17,494","-18,563","9,283","8,215",ICICIBANK
Mar 2014,"6,765","-15,750","7,872","-1,113",ICICIBANK
Mar 2015,"-12,273","-13,175","24,827",-621,ICICIBANK
Mar 2016,"23,645","-12,060","5,814","17,399",ICICIBANK
Mar 2017,"52,636","-1,711","-35,470","15,455",ICICIBANK
Mar 2018,"19,383","-50,551","39,676","8,508",ICICIBANK
Mar 2019,"48,671","-30,282","-19,997","-1,608",ICICIBANK
Mar 2020,"79,565","-42,095","2,992","40,462",ICICIBANK
Mar 2021,"138,015","-63,631","-54,667","19,718",ICICIBANK
Mar 2022,"58,111","-40,007","17,451","35,555",ICICIBANK
Mar 2011,"5,509",-871,"-3,580","1,058",ITC
Mar 2012,"6,256","-2,694","-3,305",257,ITC
Mar 2013,"7,102","-3,881","-3,310",-90,ITC
Mar 2014,"7,344","-3,254","-4,122",-32,ITC
Mar 2015,"9,843","-5,275","-4,661",-93,ITC
Mar 2016,"9,799","-3,921","-5,613",266,ITC
Mar 2017,"10,627","-3,251","-7,301",75,ITC
Mar 2018,"13,169","-7,114","-6,221",-166,ITC
Mar 2019,"12,583","-5,546","-6,869",169,ITC
Mar 2020,"14,690","-6,174","-8,181",334,ITC
Mar 2021,"12,527","5,740","-18,634",-367,ITC
Mar 2022,"15,776","-2,238","-13,580",-43,ITC
Mar 2011,609,-21,834,"1,421",INDUSINDBK
Mar 2012,-840,-141,"2,496","1,515",INDUSINDBK
Mar 2013,-486,-174,"1,969","1,309",INDUSINDBK
Mar 2014,"-4,106",-174,"4,200",-79,INDUSINDBK
Mar 2015,"-1,421",-276,"5,707","4,010",INDUSINDBK
Mar 2016,"-2,927",-258,"2,517",-667,INDUSINDBK
Mar 2017,"11,569",-285,"-2,768","8,516",INDUSINDBK
Mar 2018,"-20,700",-217,"15,505","-5,412",INDUSINDBK
Mar 2019,"-6,389",-633,"8,590","1,568",INDUSINDBK
Mar 2020,"-12,039",526,"12,733","1,220",INDUSINDBK
Mar 2021,"44,646",-226,"-4,096","40,324",INDUSINDBK
Mar 2022,"16,600",-351,"-4,302","11,947",INDUSINDBK
Mar 2011,"4,752","3,443","-3,640","4,555",INFY
Mar 2012,"6,394",-147,"-2,322","3,925",INFY
Mar 2013,"7,373","-2,922","-3,210","1,241",INFY
Mar 2014,"9,825","-2,563","-3,144","4,118",INFY
Mar 2015,"8,353",999,"-4,935","4,417",INFY
Mar 2016,"10,028",-885,"-6,813","2,330",INFY
Mar 2017,"11,531","-14,664","-6,939","-10,072",INFY
Mar 2018,"13,218","4,533","-20,505","-2,754",INFY
Mar 2019,"14,841",-632,"-14,512",-303,INFY
Mar 2020,"17,003",-331,"-17,591",-919,INFY
Mar 2021,"23,224","-7,373","-9,786","6,065",INFY
Mar 2022,"23,885","-6,485","-24,642","-7,242",INFY
Mar 2011,"2,830","-7,633","5,096",293,JSWSTEEL
Mar 2012,"3,512","-4,101",698,110,JSWSTEEL
Mar 2013,"5,844","-5,433",-791,-380,JSWSTEEL
Mar 2014,"2,594","-5,618","3,300",276,JSWSTEEL
Mar 2015,"7,876","-7,372",-169,334,JSWSTEEL
Mar 2016,"6,897","-3,857","-3,151",-111,JSWSTEEL
Mar 2017,"7,888","-5,094","-2,710",84,JSWSTEEL
Mar 2018,"12,379","-4,529","-8,185",-335,JSWSTEEL
Mar 2019,"14,633","-11,387","1,753","4,999",JSWSTEEL
Mar 2020,"12,785","-19,589","5,189","-1,615",JSWSTEEL
Mar 2021,"18,831","-9,410","-1,444","7,977",JSWSTEEL
Mar 2022,"26,270","-14,748","-14,657","-3,135",JSWSTEEL
Mar 2011,"-1,739",-189,"2,415",487,KOTAKBANK
Mar 2012,"-1,192","-5,456","7,229",582,KOTAKBANK
Mar 2013,"2,878","-9,035","7,099",942,KOTAKBANK
Mar 2014,"9,068","-1,130","-5,814","2,125",KOTAKBANK
Mar 2015,"2,302","-4,467","2,426",260,KOTAKBANK
Mar 2016,"5,025","-2,353","2,024","4,696",KOTAKBANK
Mar 2017,"13,222","-5,289","6,055","13,989",KOTAKBANK
Mar 2018,"-10,392","-5,475","14,679","-1,188",KOTAKBANK
Mar 2019,"1,822","-3,323","8,365","6,864",KOTAKBANK
Mar 2020,"46,619","-13,068",-735,"32,815",KOTAKBANK
Mar 2021,"4,881","-11,172","-10,072","-16,363",KOTAKBANK
Mar 2022,"8,418","-11,018","7,549","4,949",KOTAKBANK
Mar 2011,"-1,616","-5,929","7,868",324,LT
Mar 2012,"-6,227","-5,864","11,968",-123,LT
Mar 2013,"-4,355","-6,922","11,429",152,LT
Mar 2014,"-7,143","-5,510","13,136",483,LT
Mar 2015,"-1,365","-4,778","7,903","1,759",LT
Mar 2016,"-3,240","-4,627","7,253",-613,LT
Mar 2017,"6,655","-9,796","2,896",-245,LT
Mar 2018,"-10,031","3,914","9,370","3,254",LT
Mar 2019,"-4,756","-11,023","15,440",-338,LT
Mar 2020,"6,694","-8,408","6,372","4,658",LT
Mar 2021,"23,074","-5,750","-15,274","2,049",LT
Mar 2022,"19,164","-3,585","-15,181",397,LT
Mar 2011,-577,"-1,388","1,437",-528,M&M
Mar 2012,61,"-2,968","4,256","1,349",M&M
Mar 2013,-922,"-2,903","4,508",684,M&M
Mar 2014,-244,"-4,524","5,577",810,M&M
Mar 2015,"1,055","-4,357","1,669","-1,633",M&M
Mar 2016,"2,385","-5,506","2,967",-154,M&M
Mar 2017,183,"-5,875","6,108",416,M&M
Mar 2018,682,"-5,467","6,314","1,529",M&M
Mar 2019,"-4,347","-7,174","13,194","1,672",M&M
Mar 2020,"-1,457","-6,870","6,933","-1,394",M&M
Mar 2021,"17,909","-19,686",406,"-1,370",M&M
Mar 2022,"9,248","-3,252","-5,883",113,M&M
Mar 2011,"3,071",-10,-691,"2,369",MARUTI
Mar 2012,"2,655","-3,181",610,84,MARUTI
Mar 2013,"4,059","-3,119",-979,-39,MARUTI
Mar 2014,"4,995","-4,997",-74,-76,MARUTI
Mar 2015,"6,449","-4,491","-2,004",-45,MARUTI
Mar 2016,"8,482","-7,230","-1,237",16,MARUTI
Mar 2017,"10,282","-9,173","-1,129",-20,MARUTI
Mar 2018,"11,788","-8,302","-3,436",50,MARUTI
Mar 2019,"6,601","-3,540","-2,948",113,MARUTI
Mar 2020,"3,496",-557,"-3,104",-165,MARUTI
Mar 2021,"8,856","-7,291","-1,545",20,MARUTI
Mar 2022,"1,840",-239,"-1,607",-6,MARUTI
Mar 2011,"12,068","-9,372",-889,"1,807",NTPC
Mar 2012,"11,397","-9,583","-1,583",231,NTPC
Mar 2013,"16,508","-16,845",988,651,NTPC
Mar 2014,"16,531","-15,509","-2,709","-1,687",NTPC
Mar 2015,"14,889","-15,977","-1,474","-2,563",NTPC
Mar 2016,"24,125","-19,162","-3,899","1,064",NTPC
Mar 2017,"20,167","-24,480","3,138","-1,176",NTPC
Mar 2018,"19,670","-20,678","1,028",19,NTPC
Mar 2019,"18,686","-24,063","4,927",-451,NTPC
Mar 2020,"23,890","-29,628","6,004",266,NTPC
Mar 2021,"32,444","-21,034","-11,049",360,NTPC
Mar 2022,"41,788","-22,838","-19,172",-222,NTPC
Dec 2010,"1,037",-446,-544,47,NESTLEIND
Dec 2011,"1,158","-1,528",323,-47,NESTLEIND
Dec 2012,"1,693",-941,-513,239,NESTLEIND
Dec 2013,"1,796",-441,-580,775,NESTLEIND
Dec 2014,"1,644",-432,"-1,635",-423,NESTLEIND
Dec 2015,"1,098",-70,-498,529,NESTLEIND
Dec 2016,"1,466",-126,-666,674,NESTLEIND
Dec 2017,"1,818",-131,-997,691,NESTLEIND
Dec 2018,"2,052",-52,"-1,317",683,NESTLEIND
Dec 2019,"2,295",83,"-3,602","-1,223",NESTLEIND
Dec 2020,"2,454",-321,"-1,956",177,NESTLEIND
